from_frame,to_frame,fen,occluded
3396,3396,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,
3604,3604,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR,
3632,3632,rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR,h8
3948,3948,rnbqkbnr/pp1ppppp/2p5/8/4P3/2N5/PPPP1PPP/R1BQKBNR,
4052,4052,rnbqkbnr/pp2pppp/2p5/3p4/4P3/2N5/PPPP1PPP/R1BQKBNR,
4176,4176,rnbqkbnr/pp2pppp/2p5/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR,
4480,4480,rnbqkbnr/pp2pppp/2p5/8/3Pp3/2N5/PPP2PPP/R1BQKBNR,"g1,h8"
4552,4552,rnbqkbnr/pp2pppp/2p5/8/3PN3/8/PPP2PPP/R1BQKBNR,
4780,4780,rnbqkb1r/pp2pppp/2p2n2/8/3PN3/8/PPP2PPP/R1BQKBNR,
4940,4940,rnbqkb1r/pp2pppp/2p2N2/8/3P4/8/PPP2PPP/R1BQKBNR,"e7,e8,f7,f8,g5,g7,g8,h5,h6"
4980,4980,rnbqkb1r/pp3ppp/2p2p2/8/3P4/8/PPP2PPP/R1BQKBNR,
5080,5080,rnbqkb1r/pp3ppp/2p2p2/8/3P4/5N2/PPP2PPP/R1BQKB1R,
5588,5588,rnbqk2r/pp3ppp/2pb1p2/8/3P4/5N2/PPP2PPP/R1BQKB1R,h8
5736,5736,rnbqk2r/pp3ppp/2pb1p2/8/2BP4/5N2/PPP2PPP/R1BQK2R,
6344,6344,rnbq1rk1/pp3ppp/2pb1p2/8/2BP4/5N2/PPP2PPP/R1BQK2R,
6416,6416,rnbq1rk1/pp3ppp/2pb1p2/8/2BP4/5N2/PPP2PPP/R1BQ1RK1,
6804,6804,rn1q1rk1/pp3ppp/2pb1p2/8/2BP2b1/5N2/PPP2PPP/R1BQ1RK1,
7632,7632,rn1q1rk1/pp3ppp/2pb1p2/8/2BP2b1/5N1P/PPP2PP1/R1BQ1RK1,
7740,7740,rn1q1rk1/pp3ppp/2pb1p2/8/2BP4/5b1P/PPP2PP1/R1BQ1RK1,
7848,7848,rn1q1rk1/pp3ppp/2pb1p2/8/2BP4/5Q1P/PPP2PP1/R1B2RK1,
