from_frame,to_frame,fen,occluded
180,180,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,
356,356,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR,
536,536,rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR,
716,716,rnbqkbnr/pp1ppppp/2p5/8/4P3/2N5/PPPP1PPP/R1BQKBNR,
896,896,rnbqkbnr/pp2pppp/2p5/3p4/4P3/2N5/PPPP1PPP/R1BQKBNR,
1072,1072,rnbqkbnr/pp2pppp/2p5/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR,
1252,1252,rnbqkbnr/pp2pppp/2p5/8/3Pp3/2N5/PPP2PPP/R1BQKBNR,
1432,1432,rnbqkbnr/pp2pppp/2p5/8/3PN3/8/PPP2PPP/R1BQKBNR,
1612,1612,rnbqkb1r/pp2pppp/2p2n2/8/3PN3/8/PPP2PPP/R1BQKBNR,
1788,1788,rnbqkb1r/pp2pppp/2p2N2/8/3P4/8/PPP2PPP/R1BQKBNR,
1968,1968,rnbqkb1r/pp3ppp/2p2p2/8/3P4/8/PPP2PPP/R1BQKBNR,
2148,2148,rnbqkb1r/pp3ppp/2p2p2/8/3P4/5N2/PPP2PPP/R1BQKB1R,
2324,2324,rnbqk2r/pp3ppp/2pb1p2/8/3P4/5N2/PPP2PPP/R1BQKB1R,
2504,2504,rnbqk2r/pp3ppp/2pb1p2/8/2BP4/5N2/PPP2PPP/R1BQK2R,
2684,2684,rnbq1rk1/pp3ppp/2pb1p2/8/2BP4/5N2/PPP2PPP/R1BQK2R,
2864,2864,rnbq1rk1/pp3ppp/2pb1p2/8/2BP4/5N2/PPP2PPP/R1BQ1RK1,
3040,3040,rn1q1rk1/pp3ppp/2pb1p2/8/2BP2b1/5N2/PPP2PPP/R1BQ1RK1,
3220,3220,rn1q1rk1/pp3ppp/2pb1p2/8/2BP2b1/5N1P/PPP2PP1/R1BQ1RK1,
3400,3400,rn1q1rk1/pp3ppp/2pb1p2/8/2BP4/5b1P/PPP2PP1/R1BQ1RK1,
3580,3580,rn1q1rk1/pp3ppp/2pb1p2/8/2BP4/5Q1P/PPP2PP1/R1B2RK1,
3756,3756,rn1qr1k1/pp3ppp/2pb1p2/8/2BP4/5Q1P/PPP2PP1/R1B2RK1,
