from_frame,to_frame,fen,occluded
160,160,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,
324,324,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR,
484,484,rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR,
648,648,rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR,
808,808,rnbqkbnr/ppp1pppp/8/8/2pP4/8/PP2PPPP/RNBQKBNR,
972,972,rnbqkbnr/ppp1pppp/8/8/2pP4/2N5/PP2PPPP/R1BQKBNR,
1132,1132,rnbqkb1r/ppp1pppp/5n2/8/2pP4/2N5/PP2PPPP/R1BQKBNR,
1296,1296,rnbqkb1r/ppp1pppp/5n2/8/2pPP3/2N5/PP3PPP/R1BQKBNR,
1460,1460,r1bqkb1r/ppp1pppp/2n2n2/8/2pPP3/2N5/PP3PPP/R1BQKBNR,
1620,1620,r1bqkb1r/ppp1pppp/2n2n2/8/2BPP3/2N5/PP3PPP/R1BQK1NR,
1784,1784,r1bqkb1r/ppp2ppp/2n2n2/4p3/2BPP3/2N5/PP3PPP/R1BQK1NR,
1944,1944,r1bqkb1r/ppp2ppp/2n2n2/4p3/2BPP3/2N2N2/PP3PPP/R1BQK2R,
2108,2108,r2qkb1r/ppp2ppp/2n2n2/4p3/2BPP1b1/2N2N2/PP3PPP/R1BQK2R,
2268,2268,r2qkb1r/ppp2ppp/2n2n2/4P3/2B1P1b1/2N2N2/PP3PPP/R1BQK2R,
2432,2432,r3kb1r/ppp2ppp/2n2n2/4P3/2B1P1b1/2N2N2/PP3PPP/R1BqK2R,
2592,2592,r3kb1r/ppp2ppp/2n2n2/4P3/2B1P1b1/5N2/PP3PPP/R1BNK2R,
2756,2756,r3kb1r/ppp2ppp/2n5/4P3/2B1n1b1/5N2/PP3PPP/R1BNK2R,
2916,2916,r3kb1r/ppp2ppp/2n5/1B2P3/4n1b1/5N2/PP3PPP/R1BNK2R,
3080,3080,r3kb1r/pppb1ppp/2n5/1B2P3/4n3/5N2/PP3PPP/R1BNK2R,
3240,3240,r3kb1r/pppb1ppp/2n5/1B2P3/4nB2/5N2/PP3PPP/R2NK2R,
3404,3404,2kr1b1r/pppb1ppp/2n5/1B2P3/4nB2/5N2/PP3PPP/R2NK2R,
3564,3564,2kr1b1r/pppb1ppp/2B5/4P3/4nB2/5N2/PP3PPP/R2NK2R,
3728,3728,2kr1b1r/ppp2ppp/2b5/4P3/4nB2/5N2/PP3PPP/R2NK2R,
3888,3888,2kr1b1r/ppp2ppp/2b5/4P3/4nB2/5N2/PP3PPP/R2N1RK1,
4052,4052,2kr3r/ppp2ppp/2b5/2b1P3/4nB2/5N2/PP3PPP/R2N1RK1,
4212,4212,2kr3r/ppp2ppp/2b5/2b1P3/4nB2/2N2N2/PP3PPP/R4RK1,
4376,4376,2kr3r/ppp2ppp/2b5/2b1P3/5B2/2n2N2/PP3PPP/R4RK1,
4536,4536,2kr3r/ppp2ppp/2b5/2b1P3/5B2/2P2N2/P4PPP/R4RK1,
4700,4700,2kr1r2/ppp2ppp/2b5/2b1P3/5B2/2P2N2/P4PPP/R4RK1,
4860,4860,2kr1r2/ppp2ppp/2b5/2b1P3/5B2/2P2N2/P4PPP/3R1RK1,
5024,5024,2k2r2/ppp2ppp/2b5/2b1P3/5B2/2P2N2/P4PPP/3r1RK1,
5184,5184,2k2r2/ppp2ppp/2b5/2b1P3/5B2/2P2N2/P4PPP/3R2K1,
5348,5348,2k2r2/ppp3pp/2b2p2/2b1P3/5B2/2P2N2/P4PPP/3R2K1,
5508,5508,2k2r2/ppp3pp/2b1Pp2/2b5/5B2/2P2N2/P4PPP/3R2K1,
5672,5672,2k1r3/ppp3pp/2b1Pp2/2b5/5B2/2P2N2/P4PPP/3R2K1,
5832,5832,2k1r3/ppp3pp/2b1Pp2/2b5/5B2/2P2N2/P4PPP/4R1K1,
5996,5996,2k1r3/ppp3pp/1bb1Pp2/8/5B2/2P2N2/P4PPP/4R1K1,
6156,6156,2k1r3/ppp3pp/1bb1Pp2/8/2P2B2/5N2/P4PPP/4R1K1,
6320,6320,2k1r3/ppp3pp/2b1Pp2/b7/2P2B2/5N2/P4PPP/4R1K1,
6480,6480,2k1r3/ppp3pp/2b1Pp2/b7/2P2B2/5N2/P3RPPP/6K1,
6644,6644,2kr4/ppp3pp/2b1Pp2/b7/2P2B2/5N2/P3RPPP/6K1,
